Id,Name,MetaKeywords,MetaTitle,ManuallyPriceRange,LogoUrl,WarrantyUrl,BulletPointColorCode,MDMBrandId,ProductPageLogoUrl,CartAndOrderPageLogoUrl,WarrantyLogoURLHideOrUnhide,gcp_cdn
1,Midas,NULL,NULL,0,https://www.midasconsoles.com/.resources/musictribe-templates/webresources/logos/header-logo-midas.svg,https://www.midasconsoles.com/service/service-warranty.html?modelCode=,#c89211,Midas,https://cdn.mediavalet.com/aunsw/musictribe/nBzhR8NZ_0SbpvjewYMkLQ/n4pOycXFskabD9zYwRNcgA/Original/Midas-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/ewUtDpg9REGBpZzvzA4JXA/qK6e1Je_P0uIHgwTd0ot-w/Original/Midas-Cart-Logo.svg,1,45ab9ff771bf403a9e21f7f6c0d5217d/Midas-Produc-Feature-Logo-Desktop.svg
1,Midas,NULL,NULL,0,https://www.midasconsoles.com/.resources/musictribe-templates/webresources/logos/header-logo-midas.svg,https://www.midasconsoles.com/service/service-warranty.html?modelCode=,#c89211,Midas,https://cdn.mediavalet.com/aunsw/musictribe/nBzhR8NZ_0SbpvjewYMkLQ/n4pOycXFskabD9zYwRNcgA/Original/Midas-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/ewUtDpg9REGBpZzvzA4JXA/qK6e1Je_P0uIHgwTd0ot-w/Original/Midas-Cart-Logo.svg,1,7b6b622e86614891a465e78a25ac83d1/Midas-Cart-Logo.svg
2,Klark Teknik,NULL,NULL,0,https://www.klarkteknik.com/.resources/musictribe-templates/webresources/logos/header-logo-klarkteknik.svg,https://www.klarkteknik.com/service/service-warranty.html?modelCode=,#7b868c,Klark Teknik,https://cdn.mediavalet.com/aunsw/musictribe/Cu-raMSsVkGWbGL4nyFSpQ/EbzvP4VEfU-TbZJOjrpG5A/Original/KlarkTeknik-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/4SLC_YeaF0-Q-isWW-oI4w/xSR8-daVf0GwyNyo2iwVQw/Original/KlarkTeknik-Cart-Logo.svg,1,3e5c661d7a0c4e43ad8efbdec1252f22/KlarkTeknik-Produc-Feature-Logo-Desktop.svg
2,Klark Teknik,NULL,NULL,0,https://www.klarkteknik.com/.resources/musictribe-templates/webresources/logos/header-logo-klarkteknik.svg,https://www.klarkteknik.com/service/service-warranty.html?modelCode=,#7b868c,Klark Teknik,https://cdn.mediavalet.com/aunsw/musictribe/Cu-raMSsVkGWbGL4nyFSpQ/EbzvP4VEfU-TbZJOjrpG5A/Original/KlarkTeknik-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/4SLC_YeaF0-Q-isWW-oI4w/xSR8-daVf0GwyNyo2iwVQw/Original/KlarkTeknik-Cart-Logo.svg,1,aa393a2a88014d8cafe100e327293b0d/KlarkTeknik-Cart-Logo.svg
3,Lab Gruppen,NULL,NULL,0,https://www.labgruppen.com/.resources/musictribe-templates/webresources/logos/header-logo-labgruppen.svg,https://www.labgruppen.com/service/service-warranty.html?modelCode=,#06262d,Lab Gruppen,https://cdn.mediavalet.com/aunsw/musictribe/Ns1p9MHfkke25EPDQcbcZQ/opTYQ-FVhEyt9pi3Igj0Sg/Original/LabGruppen-Produc-Feature-Logo-Desktop-v2.svg,https://cdn.mediavalet.com/aunsw/musictribe/JKRlM9c1MUG--FlJF8HTeA/0wXvI21UTUm8whBRvsyKKw/Original/LabGruppen-Cart-Logo-v2.svg,1,33466f4a54cb4e19bd28bbf57ff7550c/LabGruppen-Produc-Feature-Logo-Desktop-v2.svg
3,Lab Gruppen,NULL,NULL,0,https://www.labgruppen.com/.resources/musictribe-templates/webresources/logos/header-logo-labgruppen.svg,https://www.labgruppen.com/service/service-warranty.html?modelCode=,#06262d,Lab Gruppen,https://cdn.mediavalet.com/aunsw/musictribe/Ns1p9MHfkke25EPDQcbcZQ/opTYQ-FVhEyt9pi3Igj0Sg/Original/LabGruppen-Produc-Feature-Logo-Desktop-v2.svg,https://cdn.mediavalet.com/aunsw/musictribe/JKRlM9c1MUG--FlJF8HTeA/0wXvI21UTUm8whBRvsyKKw/Original/LabGruppen-Cart-Logo-v2.svg,1,c55c65e02b7b468c943353f61f5e145b/LabGruppen-Cart-Logo-v2.svg
4,Lake,NULL,NULL,0,https://www.lakeprocessing.com/.resources/musictribe-templates/webresources/logos/header-logo-lake.svg,https://www.lakeprocessing.com/service/service-warranty.html?modelCode=,#0098d8,Lake,https://cdn.mediavalet.com/aunsw/musictribe/iEMJsFsT1E6pDOC2CI_QDQ/RHVZDPWoO0635pLS0DP22w/Original/Lake-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/X8r3m4RE6028uijyUzSFHQ/Ml1hBN0qK0ifTkUV3k_CPA/Original/Lake-Cart-Logo.svg,1,a81f04aec71249629951b173707d5c3e/Lake-Produc-Feature-Logo-Desktop.svg
4,Lake,NULL,NULL,0,https://www.lakeprocessing.com/.resources/musictribe-templates/webresources/logos/header-logo-lake.svg,https://www.lakeprocessing.com/service/service-warranty.html?modelCode=,#0098d8,Lake,https://cdn.mediavalet.com/aunsw/musictribe/iEMJsFsT1E6pDOC2CI_QDQ/RHVZDPWoO0635pLS0DP22w/Original/Lake-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/X8r3m4RE6028uijyUzSFHQ/Ml1hBN0qK0ifTkUV3k_CPA/Original/Lake-Cart-Logo.svg,1,2afdf6c876444156be9eb8794f115158/Lake-Cart-Logo.svg
5,Tannoy,NULL,NULL,0,https://www.tannoy.com/.resources/musictribe-templates/webresources/logos/header-logo-tannoy.svg,https://tannoy.com/service/service-warranty.html?modelCode=,#85754e,Tannoy,https://cdn.mediavalet.com/aunsw/musictribe/g0sRrgnUI0SBt4haDToadQ/mj-CAPmuOUyCpKnCIRfHfA/Original/Tannoy-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/mbgeVTzYx0e7B_Vlyg1quQ/nFjfTJ1rKUizpq0raXlCxQ/Original/Tannoy-Cart-Logo.svg,1,32cbaa45e24c43f7b63f07afc3531477/Tannoy-Produc-Feature-Logo-Desktop.svg
5,Tannoy,NULL,NULL,0,https://www.tannoy.com/.resources/musictribe-templates/webresources/logos/header-logo-tannoy.svg,https://tannoy.com/service/service-warranty.html?modelCode=,#85754e,Tannoy,https://cdn.mediavalet.com/aunsw/musictribe/g0sRrgnUI0SBt4haDToadQ/mj-CAPmuOUyCpKnCIRfHfA/Original/Tannoy-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/mbgeVTzYx0e7B_Vlyg1quQ/nFjfTJ1rKUizpq0raXlCxQ/Original/Tannoy-Cart-Logo.svg,1,2399878be4ce48c6809474e32d0959b9/Tannoy-Cart-Logo.svg
